code,comorbidity
A1801,AUTOIMMUNE
A1802,AUTOIMMUNE
A1884,VALVE
A3282,VALVE
A3951,VALVE
A3984,AUTOIMMUNE
A5145,LIVER_MLD
A5200,PERIVASC
A5201,PERIVASC
A5202,PERIVASC
A5203,VALVE
A5209,PERIVASC
A5274,LIVER_MLD
A5441,AUTOIMMUNE
A5442,AUTOIMMUNE
B180,LIVER_MLD
B181,LIVER_MLD
B182,LIVER_MLD
B188,LIVER_MLD
B189,LIVER_MLD
B190,LIVER_SEV
B1910,LIVER_MLD
B1911,LIVER_SEV
B1920,LIVER_MLD
B1921,LIVER_SEV
B199,LIVER_MLD
B20,AIDS
B251,LIVER_MLD
B3321,VALVE
B376,VALVE
B581,LIVER_MLD
C000,CANCER_SOLID
C001,CANCER_SOLID
C002,CANCER_SOLID
C003,CANCER_SOLID
C004,CANCER_SOLID
C005,CANCER_SOLID
C006,CANCER_SOLID
C008,CANCER_SOLID
C009,CANCER_SOLID
C01,CANCER_SOLID
C020,CANCER_SOLID
C021,CANCER_SOLID
C022,CANCER_SOLID
C023,CANCER_SOLID
C024,CANCER_SOLID
C028,CANCER_SOLID
C029,CANCER_SOLID
C030,CANCER_SOLID
C031,CANCER_SOLID
C039,CANCER_SOLID
C040,CANCER_SOLID
C041,CANCER_SOLID
C048,CANCER_SOLID
C049,CANCER_SOLID
C050,CANCER_SOLID
C051,CANCER_SOLID
C052,CANCER_SOLID
C058,CANCER_SOLID
C059,CANCER_SOLID
C060,CANCER_SOLID
C061,CANCER_SOLID
C062,CANCER_SOLID
C0680,CANCER_SOLID
C0689,CANCER_SOLID
C069,CANCER_SOLID
C07,CANCER_SOLID
C080,CANCER_SOLID
C081,CANCER_SOLID
C089,CANCER_SOLID
C090,CANCER_SOLID
C091,CANCER_SOLID
C098,CANCER_SOLID
C099,CANCER_SOLID
C100,CANCER_SOLID
C101,CANCER_SOLID
C102,CANCER_SOLID
C103,CANCER_SOLID
C104,CANCER_SOLID
C108,CANCER_SOLID
C109,CANCER_SOLID
C110,CANCER_SOLID
C111,CANCER_SOLID
C112,CANCER_SOLID
C113,CANCER_SOLID
C118,CANCER_SOLID
C119,CANCER_SOLID
C12,CANCER_SOLID
C130,CANCER_SOLID
C131,CANCER_SOLID
C132,CANCER_SOLID
C138,CANCER_SOLID
C139,CANCER_SOLID
C140,CANCER_SOLID
C142,CANCER_SOLID
C148,CANCER_SOLID
C153,CANCER_SOLID
C154,CANCER_SOLID
C155,CANCER_SOLID
C158,CANCER_SOLID
C159,CANCER_SOLID
C160,CANCER_SOLID
C161,CANCER_SOLID
C162,CANCER_SOLID
C163,CANCER_SOLID
C164,CANCER_SOLID
C165,CANCER_SOLID
C166,CANCER_SOLID
C168,CANCER_SOLID
C169,CANCER_SOLID
C170,CANCER_SOLID
C171,CANCER_SOLID
C172,CANCER_SOLID
C173,CANCER_SOLID
C178,CANCER_SOLID
C179,CANCER_SOLID
C180,CANCER_SOLID
C181,CANCER_SOLID
C182,CANCER_SOLID
C183,CANCER_SOLID
C184,CANCER_SOLID
C185,CANCER_SOLID
C186,CANCER_SOLID
C187,CANCER_SOLID
C188,CANCER_SOLID
C189,CANCER_SOLID
C19,CANCER_SOLID
C20,CANCER_SOLID
C210,CANCER_SOLID
C211,CANCER_SOLID
C212,CANCER_SOLID
C218,CANCER_SOLID
C220,CANCER_SOLID
C221,CANCER_SOLID
C222,CANCER_SOLID
C223,CANCER_SOLID
C224,CANCER_SOLID
C227,CANCER_SOLID
C228,CANCER_SOLID
C229,CANCER_SOLID
C23,CANCER_SOLID
C240,CANCER_SOLID
C241,CANCER_SOLID
C248,CANCER_SOLID
C249,CANCER_SOLID
C250,CANCER_SOLID
C251,CANCER_SOLID
C252,CANCER_SOLID
C253,CANCER_SOLID
C254,CANCER_SOLID
C257,CANCER_SOLID
C258,CANCER_SOLID
C259,CANCER_SOLID
C260,CANCER_SOLID
C261,CANCER_SOLID
C269,CANCER_SOLID
C300,CANCER_SOLID
C301,CANCER_SOLID
C310,CANCER_SOLID
C311,CANCER_SOLID
C312,CANCER_SOLID
C313,CANCER_SOLID
C318,CANCER_SOLID
C319,CANCER_SOLID
C320,CANCER_SOLID
C321,CANCER_SOLID
C322,CANCER_SOLID
C323,CANCER_SOLID
C328,CANCER_SOLID
C329,CANCER_SOLID
C33,CANCER_SOLID
C3400,CANCER_SOLID
C3401,CANCER_SOLID
C3402,CANCER_SOLID
C3410,CANCER_SOLID
C3411,CANCER_SOLID
C3412,CANCER_SOLID
C342,CANCER_SOLID
C3430,CANCER_SOLID
C3431,CANCER_SOLID
C3432,CANCER_SOLID
C3480,CANCER_SOLID
C3481,CANCER_SOLID
C3482,CANCER_SOLID
C3490,CANCER_SOLID
C3491,CANCER_SOLID
C3492,CANCER_SOLID
C37,CANCER_SOLID
C380,CANCER_SOLID
C381,CANCER_SOLID
C382,CANCER_SOLID
C383,CANCER_SOLID
C384,CANCER_SOLID
C388,CANCER_SOLID
C390,CANCER_SOLID
C399,CANCER_SOLID
C4000,CANCER_SOLID
C4001,CANCER_SOLID
C4002,CANCER_SOLID
C4010,CANCER_SOLID
C4011,CANCER_SOLID
C4012,CANCER_SOLID
C4020,CANCER_SOLID
C4021,CANCER_SOLID
C4022,CANCER_SOLID
C4030,CANCER_SOLID
C4031,CANCER_SOLID
C4032,CANCER_SOLID
C4080,CANCER_SOLID
C4081,CANCER_SOLID
C4082,CANCER_SOLID
C4090,CANCER_SOLID
C4091,CANCER_SOLID
C4092,CANCER_SOLID
C410,CANCER_SOLID
C411,CANCER_SOLID
C412,CANCER_SOLID
C413,CANCER_SOLID
C414,CANCER_SOLID
C419,CANCER_SOLID
C430,CANCER_SOLID
C4310,CANCER_SOLID
C4311,CANCER_SOLID
C43111,CANCER_SOLID
C43112,CANCER_SOLID
C4312,CANCER_SOLID
C43121,CANCER_SOLID
C43122,CANCER_SOLID
C4320,CANCER_SOLID
C4321,CANCER_SOLID
C4322,CANCER_SOLID
C4330,CANCER_SOLID
C4331,CANCER_SOLID
C4339,CANCER_SOLID
C434,CANCER_SOLID
C4351,CANCER_SOLID
C4352,CANCER_SOLID
C4359,CANCER_SOLID
C4360,CANCER_SOLID
C4361,CANCER_SOLID
C4362,CANCER_SOLID
C4370,CANCER_SOLID
C4371,CANCER_SOLID
C4372,CANCER_SOLID
C438,CANCER_SOLID
C439,CANCER_SOLID
C4400,CANCER_SOLID
C4409,CANCER_SOLID
C44101,CANCER_SOLID
C44102,CANCER_SOLID
C441021,CANCER_SOLID
C441022,CANCER_SOLID
C44109,CANCER_SOLID
C441091,CANCER_SOLID
C441092,CANCER_SOLID
C44131,CANCER_SOLID
C441321,CANCER_SOLID
C441322,CANCER_SOLID
C441391,CANCER_SOLID
C441392,CANCER_SOLID
C44191,CANCER_SOLID
C44192,CANCER_SOLID
C441921,CANCER_SOLID
C441922,CANCER_SOLID
C44199,CANCER_SOLID
C441991,CANCER_SOLID
C441992,CANCER_SOLID
C44201,CANCER_SOLID
C44202,CANCER_SOLID
C44209,CANCER_SOLID
C44291,CANCER_SOLID
C44292,CANCER_SOLID
C44299,CANCER_SOLID
C44300,CANCER_SOLID
C44301,CANCER_SOLID
C44309,CANCER_SOLID
C44390,CANCER_SOLID
C44391,CANCER_SOLID
C44399,CANCER_SOLID
C4440,CANCER_SOLID
C4449,CANCER_SOLID
C44500,CANCER_SOLID
C44501,CANCER_SOLID
C44509,CANCER_SOLID
C44590,CANCER_SOLID
C44591,CANCER_SOLID
C44599,CANCER_SOLID
C44601,CANCER_SOLID
C44602,CANCER_SOLID
C44609,CANCER_SOLID
C44691,CANCER_SOLID
C44692,CANCER_SOLID
C44699,CANCER_SOLID
C44701,CANCER_SOLID
C44702,CANCER_SOLID
C44709,CANCER_SOLID
C44791,CANCER_SOLID
C44792,CANCER_SOLID
C44799,CANCER_SOLID
C4480,CANCER_SOLID
C4489,CANCER_SOLID
C4490,CANCER_SOLID
C4499,CANCER_SOLID
C450,CANCER_SOLID
C451,CANCER_SOLID
C452,CANCER_SOLID
C457,CANCER_SOLID
C459,CANCER_SOLID
C460,CANCER_SOLID
C461,CANCER_SOLID
C462,CANCER_SOLID
C463,CANCER_SOLID
C464,CANCER_SOLID
C4650,CANCER_SOLID
C4651,CANCER_SOLID
C4652,CANCER_SOLID
C467,CANCER_SOLID
C469,CANCER_SOLID
C470,CANCER_SOLID
C4710,CANCER_SOLID
C4711,CANCER_SOLID
C4712,CANCER_SOLID
C4720,CANCER_SOLID
C4721,CANCER_SOLID
C4722,CANCER_SOLID
C473,CANCER_SOLID
C474,CANCER_SOLID
C475,CANCER_SOLID
C476,CANCER_SOLID
C478,CANCER_SOLID
C479,CANCER_SOLID
C480,CANCER_SOLID
C481,CANCER_SOLID
C482,CANCER_SOLID
C488,CANCER_SOLID
C490,CANCER_SOLID
C4910,CANCER_SOLID
C4911,CANCER_SOLID
C4912,CANCER_SOLID
C4920,CANCER_SOLID
C4921,CANCER_SOLID
C4922,CANCER_SOLID
C493,CANCER_SOLID
C494,CANCER_SOLID
C495,CANCER_SOLID
C496,CANCER_SOLID
C498,CANCER_SOLID
C499,CANCER_SOLID
C49A0,CANCER_SOLID
C49A1,CANCER_SOLID
C49A2,CANCER_SOLID
C49A3,CANCER_SOLID
C49A4,CANCER_SOLID
C49A5,CANCER_SOLID
C49A9,CANCER_SOLID
C4A0,CANCER_SOLID
C4A10,CANCER_SOLID
C4A11,CANCER_SOLID
C4A111,CANCER_SOLID
C4A112,CANCER_SOLID
C4A12,CANCER_SOLID
C4A121,CANCER_SOLID
C4A122,CANCER_SOLID
C4A20,CANCER_SOLID
C4A21,CANCER_SOLID
C4A22,CANCER_SOLID
C4A30,CANCER_SOLID
C4A31,CANCER_SOLID
C4A39,CANCER_SOLID
C4A4,CANCER_SOLID
C4A51,CANCER_SOLID
C4A52,CANCER_SOLID
C4A59,CANCER_SOLID
C4A60,CANCER_SOLID
C4A61,CANCER_SOLID
C4A62,CANCER_SOLID
C4A70,CANCER_SOLID
C4A71,CANCER_SOLID
C4A72,CANCER_SOLID
C4A8,CANCER_SOLID
C4A9,CANCER_SOLID
C50011,CANCER_SOLID
C50012,CANCER_SOLID
C50019,CANCER_SOLID
C50021,CANCER_SOLID
C50022,CANCER_SOLID
C50029,CANCER_SOLID
C50111,CANCER_SOLID
C50112,CANCER_SOLID
C50119,CANCER_SOLID
C50121,CANCER_SOLID
C50122,CANCER_SOLID
C50129,CANCER_SOLID
C50211,CANCER_SOLID
C50212,CANCER_SOLID
C50219,CANCER_SOLID
C50221,CANCER_SOLID
C50222,CANCER_SOLID
C50229,CANCER_SOLID
C50311,CANCER_SOLID
C50312,CANCER_SOLID
C50319,CANCER_SOLID
C50321,CANCER_SOLID
C50322,CANCER_SOLID
C50329,CANCER_SOLID
C50411,CANCER_SOLID
C50412,CANCER_SOLID
C50419,CANCER_SOLID
C50421,CANCER_SOLID
C50422,CANCER_SOLID
C50429,CANCER_SOLID
C50511,CANCER_SOLID
C50512,CANCER_SOLID
C50519,CANCER_SOLID
C50521,CANCER_SOLID
C50522,CANCER_SOLID
C50529,CANCER_SOLID
C50611,CANCER_SOLID
C50612,CANCER_SOLID
C50619,CANCER_SOLID
C50621,CANCER_SOLID
C50622,CANCER_SOLID
C50629,CANCER_SOLID
C50811,CANCER_SOLID
C50812,CANCER_SOLID
C50819,CANCER_SOLID
C50821,CANCER_SOLID
C50822,CANCER_SOLID
C50829,CANCER_SOLID
C50911,CANCER_SOLID
C50912,CANCER_SOLID
C50919,CANCER_SOLID
C50921,CANCER_SOLID
C50922,CANCER_SOLID
C50929,CANCER_SOLID
C510,CANCER_SOLID
C511,CANCER_SOLID
C512,CANCER_SOLID
C518,CANCER_SOLID
C519,CANCER_SOLID
C52,CANCER_SOLID
C530,CANCER_SOLID
C531,CANCER_SOLID
C538,CANCER_SOLID
C539,CANCER_SOLID
C540,CANCER_SOLID
C541,CANCER_SOLID
C542,CANCER_SOLID
C543,CANCER_SOLID
C548,CANCER_SOLID
C549,CANCER_SOLID
C55,CANCER_SOLID
C561,CANCER_SOLID
C562,CANCER_SOLID
C563,CANCER_SOLID
C569,CANCER_SOLID
C5700,CANCER_SOLID
C5701,CANCER_SOLID
C5702,CANCER_SOLID
C5710,CANCER_SOLID
C5711,CANCER_SOLID
C5712,CANCER_SOLID
C5720,CANCER_SOLID
C5721,CANCER_SOLID
C5722,CANCER_SOLID
C573,CANCER_SOLID
C574,CANCER_SOLID
C577,CANCER_SOLID
C578,CANCER_SOLID
C579,CANCER_SOLID
C58,CANCER_SOLID
C600,CANCER_SOLID
C601,CANCER_SOLID
C602,CANCER_SOLID
C608,CANCER_SOLID
C609,CANCER_SOLID
C61,CANCER_SOLID
C6200,CANCER_SOLID
C6201,CANCER_SOLID
C6202,CANCER_SOLID
C6210,CANCER_SOLID
C6211,CANCER_SOLID
C6212,CANCER_SOLID
C6290,CANCER_SOLID
C6291,CANCER_SOLID
C6292,CANCER_SOLID
C6300,CANCER_SOLID
C6301,CANCER_SOLID
C6302,CANCER_SOLID
C6310,CANCER_SOLID
C6311,CANCER_SOLID
C6312,CANCER_SOLID
C632,CANCER_SOLID
C637,CANCER_SOLID
C638,CANCER_SOLID
C639,CANCER_SOLID
C641,CANCER_SOLID
C642,CANCER_SOLID
C649,CANCER_SOLID
C651,CANCER_SOLID
C652,CANCER_SOLID
C659,CANCER_SOLID
C661,CANCER_SOLID
C662,CANCER_SOLID
C669,CANCER_SOLID
C670,CANCER_SOLID
C671,CANCER_SOLID
C672,CANCER_SOLID
C673,CANCER_SOLID
C674,CANCER_SOLID
C675,CANCER_SOLID
C676,CANCER_SOLID
C677,CANCER_SOLID
C678,CANCER_SOLID
C679,CANCER_SOLID
C680,CANCER_SOLID
C681,CANCER_SOLID
C688,CANCER_SOLID
C689,CANCER_SOLID
C6900,CANCER_SOLID
C6901,CANCER_SOLID
C6902,CANCER_SOLID
C6910,CANCER_SOLID
C6911,CANCER_SOLID
C6912,CANCER_SOLID
C6920,CANCER_SOLID
C6921,CANCER_SOLID
C6922,CANCER_SOLID
C6930,CANCER_SOLID
C6931,CANCER_SOLID
C6932,CANCER_SOLID
C6940,CANCER_SOLID
C6941,CANCER_SOLID
C6942,CANCER_SOLID
C6950,CANCER_SOLID
C6951,CANCER_SOLID
C6952,CANCER_SOLID
C6960,CANCER_SOLID
C6961,CANCER_SOLID
C6962,CANCER_SOLID
C6980,CANCER_SOLID
C6981,CANCER_SOLID
C6982,CANCER_SOLID
C6990,CANCER_SOLID
C6991,CANCER_SOLID
C6992,CANCER_SOLID
C700,CANCER_SOLID
C701,CANCER_SOLID
C709,CANCER_SOLID
C710,CANCER_SOLID
C711,CANCER_SOLID
C712,CANCER_SOLID
C713,CANCER_SOLID
C714,CANCER_SOLID
C715,CANCER_SOLID
C716,CANCER_SOLID
C717,CANCER_SOLID
C718,CANCER_SOLID
C719,CANCER_SOLID
C720,CANCER_SOLID
C721,CANCER_SOLID
C7220,CANCER_SOLID
C7221,CANCER_SOLID
C7222,CANCER_SOLID
C7230,CANCER_SOLID
C7231,CANCER_SOLID
C7232,CANCER_SOLID
C7240,CANCER_SOLID
C7241,CANCER_SOLID
C7242,CANCER_SOLID
C7250,CANCER_SOLID
C7259,CANCER_SOLID
C729,CANCER_SOLID
C73,CANCER_SOLID
C7400,CANCER_SOLID
C7401,CANCER_SOLID
C7402,CANCER_SOLID
C7410,CANCER_SOLID
C7411,CANCER_SOLID
C7412,CANCER_SOLID
C7490,CANCER_SOLID
C7491,CANCER_SOLID
C7492,CANCER_SOLID
C750,CANCER_SOLID
C751,CANCER_SOLID
C752,CANCER_SOLID
C753,CANCER_SOLID
C754,CANCER_SOLID
C755,CANCER_SOLID
C758,CANCER_SOLID
C759,CANCER_SOLID
C760,CANCER_SOLID
C761,CANCER_SOLID
C762,CANCER_SOLID
C763,CANCER_SOLID
C7640,CANCER_SOLID
C7641,CANCER_SOLID
C7642,CANCER_SOLID
C7650,CANCER_SOLID
C7651,CANCER_SOLID
C7652,CANCER_SOLID
C768,CANCER_SOLID
C770,CANCER_METS
C771,CANCER_METS
C772,CANCER_METS
C773,CANCER_METS
C774,CANCER_METS
C775,CANCER_METS
C778,CANCER_METS
C779,CANCER_METS
C7800,CANCER_METS
C7801,CANCER_METS
C7802,CANCER_METS
C781,CANCER_METS
C782,CANCER_METS
C7830,CANCER_METS
C7839,CANCER_METS
C784,CANCER_METS
C785,CANCER_METS
C786,CANCER_METS
C787,CANCER_METS
C7880,CANCER_METS
C7889,CANCER_METS
C7900,CANCER_METS
C7901,CANCER_METS
C7902,CANCER_METS
C7910,CANCER_METS
C7911,CANCER_METS
C7919,CANCER_METS
C792,CANCER_METS
C7931,CANCER_METS
C7932,CANCER_METS
C7940,CANCER_METS
C7949,CANCER_METS
C7951,CANCER_METS
C7952,CANCER_METS
C7960,CANCER_METS
C7961,CANCER_METS
C7962,CANCER_METS
C7963,CANCER_METS
C7970,CANCER_METS
C7971,CANCER_METS
C7972,CANCER_METS
C7981,CANCER_METS
C7982,CANCER_METS
C7989,CANCER_METS
C799,CANCER_METS
C7A00,CANCER_SOLID
C7A010,CANCER_SOLID
C7A011,CANCER_SOLID
C7A012,CANCER_SOLID
C7A019,CANCER_SOLID
C7A020,CANCER_SOLID
C7A021,CANCER_SOLID
C7A022,CANCER_SOLID
C7A023,CANCER_SOLID
C7A024,CANCER_SOLID
C7A025,CANCER_SOLID
C7A026,CANCER_SOLID
C7A029,CANCER_SOLID
C7A090,CANCER_SOLID
C7A091,CANCER_SOLID
C7A092,CANCER_SOLID
C7A093,CANCER_SOLID
C7A094,CANCER_SOLID
C7A095,CANCER_SOLID
C7A096,CANCER_SOLID
C7A098,CANCER_SOLID
C7A1,CANCER_SOLID
C7A8,CANCER_SOLID
C7B00,CANCER_METS
C7B01,CANCER_METS
C7B02,CANCER_METS
C7B03,CANCER_METS
C7B04,CANCER_METS
C7B09,CANCER_METS
C7B1,CANCER_METS
C7B8,CANCER_METS
C800,CANCER_METS
C8100,CANCER_LYMPH
C8101,CANCER_LYMPH
C8102,CANCER_LYMPH
C8103,CANCER_LYMPH
C8104,CANCER_LYMPH
C8105,CANCER_LYMPH
C8106,CANCER_LYMPH
C8107,CANCER_LYMPH
C8108,CANCER_LYMPH
C8109,CANCER_LYMPH
C810A,CANCER_LYMPH
C8110,CANCER_LYMPH
C8111,CANCER_LYMPH
C8112,CANCER_LYMPH
C8113,CANCER_LYMPH
C8114,CANCER_LYMPH
C8115,CANCER_LYMPH
C8116,CANCER_LYMPH
C8117,CANCER_LYMPH
C8118,CANCER_LYMPH
C8119,CANCER_LYMPH
C811A,CANCER_LYMPH
C8120,CANCER_LYMPH
C8121,CANCER_LYMPH
C8122,CANCER_LYMPH
C8123,CANCER_LYMPH
C8124,CANCER_LYMPH
C8125,CANCER_LYMPH
C8126,CANCER_LYMPH
C8127,CANCER_LYMPH
C8128,CANCER_LYMPH
C8129,CANCER_LYMPH
C812A,CANCER_LYMPH
C8130,CANCER_LYMPH
C8131,CANCER_LYMPH
C8132,CANCER_LYMPH
C8133,CANCER_LYMPH
C8134,CANCER_LYMPH
C8135,CANCER_LYMPH
C8136,CANCER_LYMPH
C8137,CANCER_LYMPH
C8138,CANCER_LYMPH
C8139,CANCER_LYMPH
C813A,CANCER_LYMPH
C8140,CANCER_LYMPH
C8141,CANCER_LYMPH
C8142,CANCER_LYMPH
C8143,CANCER_LYMPH
C8144,CANCER_LYMPH
C8145,CANCER_LYMPH
C8146,CANCER_LYMPH
C8147,CANCER_LYMPH
C8148,CANCER_LYMPH
C8149,CANCER_LYMPH
C814A,CANCER_LYMPH
C8170,CANCER_LYMPH
C8171,CANCER_LYMPH
C8172,CANCER_LYMPH
C8173,CANCER_LYMPH
C8174,CANCER_LYMPH
C8175,CANCER_LYMPH
C8176,CANCER_LYMPH
C8177,CANCER_LYMPH
C8178,CANCER_LYMPH
C8179,CANCER_LYMPH
C817A,CANCER_LYMPH
C8190,CANCER_LYMPH
C8191,CANCER_LYMPH
C8192,CANCER_LYMPH
C8193,CANCER_LYMPH
C8194,CANCER_LYMPH
C8195,CANCER_LYMPH
C8196,CANCER_LYMPH
C8197,CANCER_LYMPH
C8198,CANCER_LYMPH
C8199,CANCER_LYMPH
C819A,CANCER_LYMPH
C8200,CANCER_LYMPH
C8201,CANCER_LYMPH
C8202,CANCER_LYMPH
C8203,CANCER_LYMPH
C8204,CANCER_LYMPH
C8205,CANCER_LYMPH
C8206,CANCER_LYMPH
C8207,CANCER_LYMPH
C8208,CANCER_LYMPH
C8209,CANCER_LYMPH
C820A,CANCER_LYMPH
C8210,CANCER_LYMPH
C8211,CANCER_LYMPH
C8212,CANCER_LYMPH
C8213,CANCER_LYMPH
C8214,CANCER_LYMPH
C8215,CANCER_LYMPH
C8216,CANCER_LYMPH
C8217,CANCER_LYMPH
C8218,CANCER_LYMPH
C8219,CANCER_LYMPH
C821A,CANCER_LYMPH
C8220,CANCER_LYMPH
C8221,CANCER_LYMPH
C8222,CANCER_LYMPH
C8223,CANCER_LYMPH
C8224,CANCER_LYMPH
C8225,CANCER_LYMPH
C8226,CANCER_LYMPH
C8227,CANCER_LYMPH
C8228,CANCER_LYMPH
C8229,CANCER_LYMPH
C822A,CANCER_LYMPH
C8230,CANCER_LYMPH
C8231,CANCER_LYMPH
C8232,CANCER_LYMPH
C8233,CANCER_LYMPH
C8234,CANCER_LYMPH
C8235,CANCER_LYMPH
C8236,CANCER_LYMPH
C8237,CANCER_LYMPH
C8238,CANCER_LYMPH
C8239,CANCER_LYMPH
C823A,CANCER_LYMPH
C8240,CANCER_LYMPH
C8241,CANCER_LYMPH
C8242,CANCER_LYMPH
C8243,CANCER_LYMPH
C8244,CANCER_LYMPH
C8245,CANCER_LYMPH
C8246,CANCER_LYMPH
C8247,CANCER_LYMPH
C8248,CANCER_LYMPH
C8249,CANCER_LYMPH
C824A,CANCER_LYMPH
C8250,CANCER_LYMPH
C8251,CANCER_LYMPH
C8252,CANCER_LYMPH
C8253,CANCER_LYMPH
C8254,CANCER_LYMPH
C8255,CANCER_LYMPH
C8256,CANCER_LYMPH
C8257,CANCER_LYMPH
C8258,CANCER_LYMPH
C8259,CANCER_LYMPH
C825A,CANCER_LYMPH
C8260,CANCER_LYMPH
C8261,CANCER_LYMPH
C8262,CANCER_LYMPH
C8263,CANCER_LYMPH
C8264,CANCER_LYMPH
C8265,CANCER_LYMPH
C8266,CANCER_LYMPH
C8267,CANCER_LYMPH
C8268,CANCER_LYMPH
C8269,CANCER_LYMPH
